fecha,ch14,ch7,sa14,sa7,gr14,gr7
13/11/20,45,22,,,,
16/11/20,51,18,,,,
17/11/20,65,27,,,,
18/11/20,62,26,391,187,2635,1081
19/11/20,56,24,412,181,2507,932
20/11/20,52,26,431,193,2362,800
23/11/20,41,11,381,137,2124,689
24/11/20,41,12,425,181,1940,620
25/11/20,39,7,389,147,1711,450
26/11/20,41,10,420,177,1563,491
27/11/20,44,13,428,177,1385,402
30/11/20,34,18,429,202,1082,318
01/12/20,34,18,412,192,971,274
02/12/20,28,16,378,155,857,239
03/12/20,28,12,365,150,,
04/12/20,28,9,345,127,663,202
07/12/20,41,19,299,91,564,220
08/12/20,44,22,293,88,505,189
09/12/20,44,24,253,63,433,144
10/12/20,37,22,222,55,374,115
14/12/20,42,17,187,82,372,143
15/12/20,43,15,181,80,349,150
16/12/20,41,15,162,86,347,196
17/12/20,47,19,172,74,345,185
18/12/20,44,12,154,57,356,202
21/12/20,32,12,154,66,413,248
22/12/20,27,12,150,57,419,212
23/12/20,28,5,153,46,464,228
24/12/20,25,4,138,56,460,220
28/12/20,18,6,125,58,454,189
29/12/20,20,7,119,60,423,157
30/12/20,17,11,119,55,439,162
31/12/20,16,9,135,57,455,181
04/01/21,28,20,164,100,479,273
05/01/21,33,21,166,84,451,248
07/01/21,40,24,182,95,534,278
08/01/21,40,15,198,92,562,286
11/01/21,63,31,316,191,787,475
12/01/21,63,30,310,187,790,433
13/01/21,73,41,319,180,864,490
14/01/21,72,48,353,204,952,607
18/01/21,141,100,530,305,1470,933
19/01/21,139,88,537,295,1420,823
20/01/21,152,91,524,258,1494,814
21/01/21,165,84,557,271,1682,864
22/01/21,176,93,631,291,1816,899
25/01/21,209,90,681,319,2050,1046
26/01/21,195,92,,,,
27/01/21,199,76,699,329,1960,876
28/01/21,178,56,660,265,1884,778
29/01/21,170,47,662,290,1894,767
01/02/21,154,46,734,314,2149,1007
02/02/21,145,45,741,308,2002,854
03/02/21,139,49,702,251,1924,792
04/02/21,129,51,692,271,1884,777
05/02/21,110,42,654,208,1852,757
08/02/21,90,35,633,235,1775,705
09/02/21,86,26,572,211,1620,580
10/02/21,80,18,521,193,1496,514
11/02/21,76,16,518,193,1404,440
12/02/21,69,15,488,187,1301,407
15/02/21,57,17,425,168,1160,418
16/02/21,48,14,403,146,1021,337
17/02/21,41,15,362,114,902,289
18/02/21,38,14,344,99,793,259
19/02/21,32,9,323,104,749,244
22/02/21,28,9,299,115,696,252
23/02/21,23,6,281,111,629,230
24/02/21,22,6,242,86,590,221
25/02/21,21,7,205,75,535,202
26/02/21,16,5,191,57,496,192
02/03/21,10,4,145,28,482,185
03/03/21,9,1,114,21,426,158
04/03/21,9,1,101,18,401,153
05/03/21,7,0,81,18,406,159
08/03/21,6,2,56,22,430,187
09/03/21,6,2,51,22,392,195
10/03/21,5,3,50,25,403,208
11/03/21,5,3,53,29,411,202
12/03/21,5,3,56,33,402,197
15/03/21,5,2,49,27,450,241
16/03/21,5,1,49,21,451,208
17/03/21,6,3,47,12,460,203
18/03/21,12,9,48,13,463,221
19/03/21,13,10,52,17,439,181
22/03/21,18,15,55,28,461,203
23/03/21,18,15,52,30,444,191
24/03/21,19,10,44,21,435,172
25/03/21,20,9,49,27,422,163
26/03/21,19,3,48,23,447,200
29/03/21,23,6,92,61,514,271
30/03/21,22,6,91,59,483,246
31/03/21,18,7,89,56,502,270
05/04/21,11,5,127,57,572,269
06/04/21,11,3,134,61,584,250
07/04/21,10,2,129,51,588,225
08/04/21,11,3,156,68,662,285
09/04/21,9,1,128,62,721,371
12/04/21,11,6,139,71,861,515
14/04/21,10,7,138,53,872,490
15/04/21,13,9,140,60,908,485
16/04/21,11,5,132,51,991,494
19/04/21,15,8,135,51,1107,538
21/04/21,15,5,123,54,1110,480
22/04/21,15,6,123,55,1104,483
23/04/21,12,5,116,42,1129,505
27/04/21,12,4,114,46,1080,466
28/04/21,11,4,101,40,1064,447
29/04/21,12,4,105,42,1051,413
30/04/21,10,4,85,32,1038,408
03/05/21,7,2,75,23,1049,434
04/05/21,7,1,70,21,977,393
05/05/21,5,0,66,16,920,366
06/05/21,4,0,60,19,877,355
07/05/21,4,0,53,12,846,326
10/05/21,3,1,35,9,804,313
11/05/21,3,2,37,11,754,287
12/05/21,2,2,31,12,727,265
13/05/21,3,3,39,18,695,260
14/05/21,12,12,36,23,660,257
17/05/21,33,31,39,24,651,296
18/05/21,36,34,45,28,628,264
19/05/21,44,38,49,28,603,264
20/05/21,49,34,54,32,595,264
21/05/21,53,27,60,33,610,288
24/05/21,63,30,67,35,682,333
25/05/21,68,32,74,39,656,314
26/05/21,64,22,70,35,671,334
27/05/21,61,26,81,41,681,323
28/05/21,52,18,85,39,687,309
31/05/21,50,15,101,56,696,303
01/06/21,49,17,115,74,666,268
02/06/21,41,14,119,69,695,283
03/06/21,43,15,124,75,681,283
04/06/21,34,9,123,61,661,269
07/06/21,30,13,149,72,616,253
08/06/21,32,14,168,85,585,220
09/06/21,27,10,153,70,603,234
10/06/21,24,8,153,67,593,226
11/06/21,22,10,154,77,604,275
14/06/21,23,8,154,59,604,276
15/06/21,28,14,164,75,580,270
16/06/21,27,17,159,82,579,265
17/06/21,29,16,164,72,588,276
18/06/21,27,16,154,62,620,286
21/06/21,29,17,142,61,666,332
22/06/21,33,15,147,60,651,299
23/06/21,35,13,158,59,640,284
24/06/21,32,13,159,73,638,277
25/06/21,31,7,151,67,662,281
28/06/21,29,5,154,75,708,313
29/06/21,25,5,162,83,691,323
30/06/21,21,5,154,70,680,324
01/07/21,19,4,163,79,709,331
02/07/21,13,1,159,74,734,361
05/07/21,8,3,165,65,801,397
06/07/21,10,5,161,67,813,395
07/07/21,10,5,150,58,845,398
08/07/21,13,8,156,72,851,413
09/07/21,13,11,149,61,903,462
12/07/21,22,16,133,60,977,493
13/07/21,26,21,140,65,1002,487
14/07/21,27,18,132,56,1048,531
15/07/21,31,19,149,70,1138,569
19/07/21,33,10,185,109,1224,556
20/07/21,38,15,203,121,1186,495
21/07/21,37,15,201,124,1212,497
22/07/21,35,14,205,99,1175,470
23/07/21,39,15,240,116,1221,508
26/07/21,30,12,275,128,1207,547
27/07/21,37,18,294,151,1176,526
28/07/21,41,21,311,155,1183,527
29/07/21,53,33,328,173,1196,540
30/07/21,65,48,354,199,1210,577
02/08/21,86,64,393,211,1283,632
03/08/21,99,71,409,199,1253,574
05/08/21,123,72,403,161,1219,531
09/08/21,162,84,398,148,1251,522
10/08/21,177,93,374,147,1162,466
11/08/21,168,80,355,136,1125,433
12/08/21,168,81,343,148,1085,423
13/08/21,168,73,318,123,1072,436
17/08/21,145,49,294,120,925,364
18/08/21,129,32,265,88,842,313
19/08/21,116,25,263,95,807,274
20/08/21,99,20,238,80,772,262
23/08/21,77,22,230,88,707,241
24/08/21,83,29,235,108,663,257
26/08/21,59,31,217,97,575,235
27/08/21,56,32,191,90,541,212
30/08/21,45,14,178,64,476,186
